180602  1806.126    29.6    33.2  
180603  1806.207    32.7    31.7  
180604  1806.290    27.7    30.7  
180605  1806.374    26.4    30.0  
180606  1806.457    25.6    28.7  
180607  1806.541    30.0    27.0  
180608  1806.626    26.3    25.1  
180609  1806.709    24.0    23.4  
180610  1806.793    27.0    22.3  
180611  1806.876    25.0    21.5  
180612  1806.960    24.0    20.2  
180701  1807.044    12.0    18.9  
180702  1807.125    12.2    17.6  
180703  1807.206     9.6    16.3  
180704  1807.290    23.8    14.7  
180705  1807.373    10.0    13.0  
180706  1807.457    12.0    11.1  
180707  1807.540    12.7     9.5  
180708  1807.625    12.0     8.7  
180709  1807.708     5.7     8.0  
180710  1807.792     8.0     7.1  
180711  1807.875     2.6     6.8  
180712  1807.959     0.0     7.0  
180801  1808.044     0.0     6.8  
180802  1808.126     4.5     6.4  
180803  1808.208     0.0     6.5  
180804  1808.292    12.3     6.6  
180805  1808.375    13.5     6.8  
180806  1808.459    13.5     7.6  
180807  1808.542     6.7     8.4  
180808  1808.627     8.0     8.9  
180809  1808.710    11.7     9.2  
180810  1808.794     4.7     8.8  
180811  1808.877    10.5     7.9  
180812  1808.961    12.3     7.2  
180901  1809.046     7.2     6.7  
180902  1809.127     9.2     6.1  
180903  1809.207     0.9     5.3  
180904  1809.291     2.5     4.6  
180905  1809.374     2.0     4.0  
180906  1809.458     7.7     3.0  
180907  1809.541     0.3     2.2  
180908  1809.626     0.2     1.6  
180909  1809.710     0.4     1.1  
180910  1809.793     0.0     1.0  
180911  1809.877     0.0     0.8  
180912  1809.960     0.0     0.4  
181001  1810.045     0.0     0.1  
181002  1810.126     0.0     0.0  
181003  1810.207     0.0     0.0  
181004  1810.290     0.0     0.0  
181005  1810.374     0.0     0.0  
181006  1810.457     0.0     0.0  
181007  1810.541     0.0     0.0  
181008  1810.626     0.0     0.0  
181009  1810.709     0.0     0.0  
181010  1810.793     0.0     0.0  
181011  1810.876     0.0     0.0  
181012  1810.960     0.0     0.0  
181101  1811.044     0.0     0.3  
181102  1811.125     0.0     0.6  
181103  1811.206     0.0     0.7  
181104  1811.290     0.0     1.0  
181105  1811.373     0.0     1.3  
181106  1811.457     0.0     1.4  
181107  1811.540     6.6     1.9  
181108  1811.625     0.0     2.4  
181109  1811.708     2.4     2.5  
181110  1811.792     6.1     2.6  
181111  1811.875     0.8     2.6  
181112  1811.959     1.1     2.7  
181201  1812.044    11.3     2.5  
181202  1812.126     1.9     2.9  
181203  1812.208     0.7     3.7  
181204  1812.292     0.0     3.7  
181205  1812.375     1.0     3.9  
181206  1812.459     1.3     4.6  
181207  1812.542     0.5     4.5  
181208  1812.627    15.6     4.4  
181209  1812.710     5.2     4.8  
181210  1812.794     3.9     5.5  
181211  1812.877     7.9     6.4  
181212  1812.961    10.1     7.0  
181301  1813.046     0.0     8.1  
181302  1813.127    10.3     8.6  
181303  1813.207     1.9     8.7  
181304  1813.291    16.6    10.1  
181305  1813.374     5.5    11.5  
181306  1813.458    11.2    12.0  
181307  1813.541    18.3    13.1  
181308  1813.626     8.4    14.1  
181309  1813.710    15.3    14.3  
181310  1813.793    27.8    14.8  
181311  1813.877    16.7    15.1  
181312  1813.960    14.3    15.3  
181401  1814.045    22.2    15.4  
181402  1814.126    12.0    15.2  
181403  1814.207     5.7    14.6  
181404  1814.290    23.8    14.0  
181405  1814.374     5.8    13.5  
181406  1814.457    14.9    13.7  
181407  1814.541    18.5    13.8  
181408  1814.626     2.3    14.5  
181409  1814.709     8.1    16.2  
181410  1814.793    19.3    17.4  
181411  1814.876    14.5    17.9  
181412  1814.960    20.1    19.8  
181501  1815.044    19.2    22.2  
181502  1815.125    32.2    24.8  
181503  1815.206    26.2    27.6  
181504  1815.290    31.6    29.2  
181505  1815.373     9.8    30.7  
181506  1815.457    55.9    33.5  
181507  1815.540    35.5    35.7  
181508  1815.625    47.2    37.5  
181509  1815.708    31.5    41.0  
181510  1815.792    33.5    44.1  
181511  1815.875    37.2    46.7  
181512  1815.959    65.0    47.6  
181601  1816.044    26.3    47.3  
181602  1816.126    68.8    46.4  
181603  1816.208    73.7    46.1  
181604  1816.292    58.8    47.7  
181605  1816.375    44.3    48.7  
181606  1816.459    43.6    47.3  
181607  1816.542    38.8    46.2  
181608  1816.627    23.2    46.2  
181609  1816.710    47.8    46.7  
181610  1816.794    56.4    46.3  
181611  1816.877    38.1    44.0  
181612  1816.961    29.9    42.8  
181701  1817.046    36.4    43.2  
181702  1817.127    57.9    44.5  
181703  1817.207    96.2    45.0  
181704  1817.291    26.4    43.2  
181705  1817.374    21.2    41.6  
181706  1817.458    40.0    41.1  
181707  1817.541    50.0    41.0  
181708  1817.626    45.0    39.5  
